번호,야영장명,주소,화로대,부대시설,주변이용가능시설,테마환경,반려동물출입,비수기_평일_가격,비수기_주말_가격,성수기_평일_가격,성수기_주말_가격,naver_id,states
5062,무니 캠핑장,경기도 양평군 옥천면 마유산로 869-9,개별,"전기,장작판매,온수,산책로,마트.편의점",산책로,"일몰명소,수상레저,항공레저,액티비티,가을단풍명소,겨울눈꽃명소,걷기길",불가능,40000,52000,60000,72000,1139810841,운영중
5063,월산근린공원 야영장,전라남도 남구 월산동 100 남구 반다비 체육센터,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1732532150,운영중
5064,히든 백야드(Hidden Backyard),경기도 하남시 미사동 391-3,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,2057370650,운영중
5065,한강(리버)캠핑,경기도 파주시 소라지로 215 (송촌동),정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,1384731223,운영중
5066,모산골 야영장,경기도 안성시 금광면 삼흥리 244-1,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,1840519471,운영중
5067,필로우캠핑장,경기도 연천군 왕징면 북삼리 170-4,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,1663302167,운영중
5068,하늘아래,경기도 연천군 미산면 아미리 698-10,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,1718483746,운영중
5069,캠핑296,경기도 가평군 청평면 호명리 6-3,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1511014673,운영중
5070,골든데이즈캠프,경기도 가평군 상면 봉수리 3-1,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,1541026041,운영중
5071,주식회사 케이힐링,경기도 가평군 청평면 삼회리 188-7,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,NOT_FOUND,휴업
5072,노블 숲속야영장,강원도 홍천군 내면 자운리 1265-1,개별,전기,산책로,정보없음,불가능,35000,46000,52000,63000,2064984842,운영중
5073,용오름계곡 캠핑장,강원도 홍천군 서석면 검산리 328,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,2083056145,운영중
5074,항골 힐링 캠핑장,강원도 정선군 북평면 탑골길 154-39,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,1103505543,운영중
5075,곰돌이캠핑장,강원도 화천군 상서면 가둔지길 10-13,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,2020085663,운영중
5076,뽕나무 펜션 캠핑장,강원도 화천군 상서면 구운리 849-15,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,NOT_FOUND,휴업
5077,오대호아트팩토리,충청북도 충주시 앙성면 돈산리 11-5 오대호아트팩토리,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,1381703370,운영중
5078,비비큐지대,충청남도 천안시 서북구 신당동 319-3,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,2067242175,운영중
5079,도마캠핑장,전라북도 완주군 운주면 금고당로 855-8,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트.편의점","계곡 물놀이,수영장",여름물놀이,불가능,50000,65000,75000,90000,1249515396,운영중
5080,해원카라반파,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,95000,124000,142000,171000,1117692518,운영중
5081,모디락 바베큐,경상북도 구미시 거의동 574-8 모디라바베큐캠핑장,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,2082286803,운영중
5082,학선정 캠핑장,경상북도 칠곡군 지천면 황학리 505-3,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,NOT_FOUND,휴업
5083,쿠니평화마당 캠핑장,경기도 화성시 우정읍 매향리 945-22,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1614048348,운영중
5084,길갈 팜 랜드,제주도 제주시 조천읍 교래리 613,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1145986591,운영중
5085,칠장산스포츠센터 야영장,경기도 안성시 죽산면 칠장리 551-1,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1002989538,운영중
5086,직소천자동차야영장,전라북도 부안군 변산면 중계리 443-1,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,1730352390,운영중
5087,지리산 유노숲,경상남도 함양군 마천면 구양리 137-11,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1623327238,운영중
5088,ROCKON글램핑,전라남도 영암군 영암읍 녹암대동보길 69-10,정보없음,정보없음,정보없음,정보없음,정보없음,105000,136000,158000,189000,983581155,운영중
5089,자연스런캠핑장,충청북도 제천시 백운면 구학산로 1096-1,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,1077170661,운영중
5090,포라카이 카라반,경상북도 포항시 북구 흥해읍 사방공원길 583,정보없음,정보없음,정보없음,정보없음,정보없음,95000,124000,142000,171000,2023134220,운영중
5091,코브 노마드,경기도 김포시 대곶면 약암로 937-26,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,2081828840,운영중
5092,공룡자연 팜캠핑장,경상남도 고성군 동해면 봉암4길 314-11,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1837068681,운영중
5093,하나농원캠핑장,경기도 파주시 탄현면 남북로 586,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,NOT_FOUND,휴업
5094,하늘정원 캠핑장,경기도 연천군 전곡읍 첫마을나길 135-14,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1554261016,운영중
