번호,야영장명,주소,화로대,부대시설,주변이용가능시설,테마환경,반려동물출입,비수기_평일_가격,비수기_주말_가격,성수기_평일_가격,성수기_주말_가격,naver_id,states
588,백무동야영장,경상남도 함양군 마천면 강청리 148,정보없음,전기,정보없음,정보없음,불가능,45000,58000,68000,81000,31316368,운영중
589,백산금빛캠프장,경상남도 밀양시 하남읍 백산5길 12-1,정보없음,정보없음,정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
590,백야자연휴양림 오토캠핑장,충청북도 음성군 금왕읍 백야리 산 13,개별,"전기,온수,물놀이장,놀이터,산책로,운동장","계곡 물놀이,산책로,낚시,어린이놀이시설","봄꽃여행,여름물놀이,가을단풍명소",불가능,45000,58000,68000,81000,32769578,운영중
591,백운산 자연휴양림 야영장,전라남도 광양시 옥룡면 백계로 337,개별,"산책로,운동장,마트.편의점","산책로,운동장,수영장",정보없음,불가능,45000,58000,68000,81000,20071668,운영중
592,(중복제거) 백운산 자연휴양림 자동차야영장,전라남도 광양시 옥룡면 백계로 337,개별,"산책로,운동장,마트.편의점","산책로,운동장,수영장",정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
593,백운산수련관 야영장 / (사)제철복지회,전라남도 광양시 옥룡면 약수제단길 154,정보없음,정보없음,정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
594,백운산체험농장,경기도 평택시 월곡길 124-272 (월곡동),개별,"전기,온수",정보없음,정보없음,불가능,35000,46000,52000,63000,33525318,운영중
595,백운오양골캠핑장,경기도 포천시 이동면 화동로2457번길 92,정보없음,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","계곡 물놀이,산책로,농어촌체험시설","여름물놀이,가을단풍명소",가능(소형견),50000,65000,75000,90000,21824276,운영중
596,백일야영장,충청남도 서천군 서면 춘장대길8번길 15-11,정보없음,온수,정보없음,정보없음,불가능,40000,52000,60000,72000,38305422,운영중
597,뱀사골자동차야영장,전라북도 남원시 산내면 와운길 10,정보없음,놀이터,정보없음,정보없음,불가능,40000,52000,60000,72000,37600335,운영중
598,버디버디,충청남도 태안군 남면 진산1길 277-200,개별,"전기,무선인터넷,장작판매,온수,놀이터","산책로,수상레저,낚시,해수욕","일출명소,일몰명소,수상레저,낚시,액티비티,여름물놀이,걷기길",불가능,35000,46000,52000,63000,35849144,운영중
599,벌곡오토캠핑장,충청남도 논산시 벌곡면 수락로517번길 36-5,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설","계곡 물놀이,산책로,어린이놀이시설",여름물놀이,가능(소형견),45000,58000,68000,81000,13480814,운영중
600,범도오토캠핑장,경상남도 밀양시 단장면 표충로 860,개별,"전기,무선인터넷,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설",정보없음,"가을단풍명소,겨울눈꽃명소,걷기길",불가능,50000,65000,75000,90000,32430225,운영중
601,범산골캠핑장,경기도 양주시 광적면 부흥로34번길 17,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설","낚시,강/물놀이","낚시,봄꽃여행,여름물놀이,가을단풍명소",불가능,45000,58000,68000,81000,36684318,운영중
602,법흥 캠핑장,강원도 영월군 무릉도원면 백년계곡길 14-3,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로,운동시설","계곡 물놀이,어린이놀이시설","여름물놀이,가을단풍명소",가능,50000,65000,75000,90000,1208546141,운영중
603,벗과뱃나루 캠핑리조트,충청남도 태안군 남면 마검포길 201-64,개별,"전기,장작판매,온수,물놀이장,놀이터,산책로,운동장,마트.편의점","산책로,낚시,해수욕",여름물놀이,불가능,50000,65000,75000,90000,1087187249,운영중
604,남이섬베스트카라반글램핑,경기도 가평군 가평읍 북한강변로 517-8,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설","수상레저,강/물놀이,어린이놀이시설","일출명소,수상레저,낚시,봄꽃여행,여름물놀이,가을단풍명소",불가능,115000,150000,172000,207000,38738658,운영중
605,베어스 캠프,경기도 포천시 내촌면 금강로3046번길 106,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설","산책로,운동장,강/물놀이,수영장,농어촌체험시설","봄꽃여행,가을단풍명소,걷기길",불가능,45000,58000,68000,81000,37853298,운영중
606,베이스캠프 캠핑장,충청북도 진천군 진천읍 백곡로 1140-14,정보없음,정보없음,정보없음,정보없음,불가능,45000,58000,68000,81000,37060324,운영중
607,벳소캠프,강원도 횡성군 우천면 전재호수길 66,개별,"전기,무선인터넷,장작판매,온수,물놀이장",정보없음,"가을단풍명소,겨울눈꽃명소",불가능,50000,65000,75000,90000,36939090,운영중
608,벽계야영장,경상남도 의령군 궁류면 벽계로 201,개별,"전기,온수,트렘폴린,놀이터,운동시설,마트.편의점",산책로,정보없음,불가능,45000,58000,68000,81000,1278563983,운영중
609,변산힐링밸리야영장,전라북도 부안군 진서면 참뽕로 173,정보없음,산책로,정보없음,정보없음,불가능,40000,52000,60000,72000,1387236769,운영중
610,하이드온부쉬,강원도 춘천시 서면 경춘로 1068,개별,"전기,온수",정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
611,별고을오토캠핑장,경상북도 성주군 금수면 성주로 660,정보없음,"전기,온수,물놀이장,놀이터,운동시설",정보없음,정보없음,불가능,45000,58000,68000,81000,35458106,운영중
612,별꽃해캠핑장,경기도 용인시 처인구 운학동 묵동로39번길 52,개별,"전기,무선인터넷,장작판매,온수,운동시설",정보없음,정보없음,가능,45000,58000,68000,81000,NOT_FOUND,휴업
613,별나무캠핑장,경상북도 고령군 운수면 법승길 18-26,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로,운동시설,마트.편의점",정보없음,정보없음,불가능,50000,65000,75000,90000,37111870,운영중
614,별난독서문화체험장,경기도 파주시 법원읍 술이홀로 1315,불가,"전기,온수,산책로,운동장","산책로,운동장,청소년체험시설,농어촌체험시설",봄꽃여행,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
615,별내림촌 캠핑장,경상북도 영천시 보현리 산194-11 일원,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","산책로,청소년체험시설","여름물놀이,걷기길",가능,50000,65000,75000,90000,NOT_FOUND,휴업
616,별다리 캠핑,경기도 가평군 북면 꽃넘이길 23-7,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설","낚시,액티비티,여름물놀이,가을단풍명소,걷기길",불가능,55000,72000,82000,99000,32862651,운영중
617,별드림캠핑장,경기도 가평군 가평읍 당목가일길 515,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,마트.편의점","계곡 물놀이,산책로,강/물놀이","여름물놀이,가을단풍명소",불가능,55000,72000,82000,99000,37278776,운영중
618,(중복제거) 별따기캠핑장,강원도 평창군 봉평면 흥정계곡3길 60,정보없음,정보없음,정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
619,별마로빌리지캠핑장,강원도 영월군 김삿갓면 영월동로 1954-40,개별,"전기,장작판매,온수,마트.편의점",계곡 물놀이,여름물놀이,불가능,35000,46000,52000,63000,11780921,운영중
620,별밤 야영장,경기도 안성시 삼죽면 개나리길 138-18,정보없음,정보없음,정보없음,정보없음,불가능,35000,46000,52000,63000,38466387,운영중
621,별밤글램핑,경상북도 영천시 임고면 포은로 814,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동시설",정보없음,정보없음,불가능,105000,136000,158000,189000,721587071,운영중
622,별볼일 있는 야영장,전라남도 보성군 문덕면 양동리 942,정보없음,정보없음,정보없음,정보없음,불가능,45000,58000,68000,81000,1792707527,운영중
623,별빛누리 글램핑,경기도 가평군 상면 청군로 253,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설","계곡 물놀이,낚시,어린이놀이시설","일출명소,낚시,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",불가능,110000,143000,165000,198000,1156908119,운영중
624,별빛두레펜션 캠핑장,전라북도 진안군 석원로 24-0 석정휴게소,개별,"전기,장작판매,운동시설",계곡 물놀이,"여름물놀이,걷기길",불가능,45000,58000,68000,81000,1886602026,운영중
625,별빛마루 글램핑 캠핑장,경상북도 경주시 천북면 새터흥림길 1-72,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동장,운동시설,마트.편의점","계곡 물놀이,산책로,낚시,어린이놀이시설",여름물놀이,불가능,105000,136000,158000,189000,1228786668,운영중
626,별빛터카라반&글램핑펜션,경상남도 합천군 가회면 중촌리 196,개별,"전기,온수",계곡 물놀이,정보없음,불가능,95000,124000,142000,171000,36259413,운영중
627,별삼킨별캠핑장,경상북도 포항시 북구 죽장면 죽장로2419번길 14-22,정보없음,전기,정보없음,정보없음,불가능,40000,52000,60000,72000,32636652,운영중
628,별수하캠핑장,충청북도 제천시 백운면 운학3길 19,개별,"전기,무선인터넷,장작판매,트렘폴린,물놀이장,놀이터,산책로,덤프스테이션","계곡 물놀이,산책로,강/물놀이,수영장,어린이놀이시설","여름물놀이,가을단풍명소,겨울눈꽃명소",불가능,45000,58000,68000,81000,35408275,운영중
629,별아래 캠핑장,경기도 용인시 처인구 양지면 한터로662번길 34-34,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,마트.편의점","산책로,낚시,강/물놀이","봄꽃여행,가을단풍명소,겨울눈꽃명소,걷기길",가능(소형견),45000,58000,68000,81000,1793672432,운영중
630,별장캠핑장 ,충청북도 제천시 봉양읍 구학리,정보없음,정보없음,정보없음,정보없음,불가능,40000,52000,60000,72000,NOT_FOUND,휴업
631,별장캠핑카,충청남도 보령시 신흑동 929-29,개별,"전기,무선인터넷","산책로,수상레저,낚시,해수욕","일출명소,일몰명소,수상레저,낚시,여름물놀이,걷기길",불가능,35000,46000,52000,63000,1674693706,운영중
632,별찌 야영장,경상북도 청도군 운문면 신원4길 2,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","계곡 물놀이,산책로,낚시,어린이놀이시설",여름물놀이,가능(소형견),50000,65000,75000,90000,36448548,운영중
633,별헤는 밤,제주도 제주시 애월읍 광상로 348,불가,"전기,무선인터넷,장작판매",정보없음,정보없음,불가능,45000,58000,68000,81000,38757859,운영중
634,비토애 럭셔리 글램핑 산청점,경상남도 산청군 신안면 둔철산로 575-26,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동시설,마트.편의점","계곡 물놀이,산책로","일출명소,액티비티,봄꽃여행,여름물놀이",가능,105000,136000,158000,189000,1259756405,운영중
635,병목안캠핑장,경기도 안양시 만안구 병목안로247번길 37,개별,"전기,온수,물놀이장","계곡 물놀이,산책로,어린이놀이시설","여름물놀이,가을단풍명소,걷기길",불가능,45000,58000,68000,81000,33270147,운영중
636,병풍바위야영장,강원도 삼척시 산양서원1길 89-0 산양1리마을회관,정보없음,정보없음,정보없음,정보없음,불가능,35000,46000,52000,63000,38765923,운영중
637,보경사 농장체험 캠핑장,경상북도 포항시 북구 송라면 광천1리,정보없음,"전기,장작판매,온수,물놀이장,산책로,운동시설",정보없음,정보없음,가능,45000,58000,68000,81000,NOT_FOUND,휴업
638,보경사힐링캠핑장,경상북도 포항시 북구 송라면 보경로 307,개별,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설,마트.편의점","계곡 물놀이,산책로,수상레저,낚시,해수욕,어린이놀이시설","봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",가능(소형견),55000,72000,82000,99000,340200590,운영중
639,보또피아힐링파크,강원도 홍천군 서면 두미리 785-20,정보없음,"전기,장작판매,온수,물놀이장,운동시설",어린이놀이시설,"낚시,여름물놀이",불가능,45000,58000,68000,81000,1664457709,운영중
640,보물섬 캠핑장,경상남도 남해군 남면 남면로1229번길 10-34,개별,"전기,장작판매,온수,놀이터","산책로,낚시,해수욕,청소년체험시설","일몰명소,수상레저,낚시,액티비티,여름물놀이,걷기길",가능,35000,46000,52000,63000,NOT_FOUND,휴업
641,보보스캇 캠핑장,강원도 영월군 주천면 미다리길 50-24,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설",정보없음,겨울눈꽃명소,불가능,50000,65000,75000,90000,31499768,운영중
642,보성드림캠핑장,전라남도 보성군 득량면 공룡로 751,개별,"전기,무선인터넷,장작판매,온수,운동장,운동시설","산책로,수상레저,낚시,해수욕,강/물놀이,수영장","일출명소,수상레저,낚시,액티비티,여름물놀이",불가능,45000,58000,68000,81000,34897259,운영중
643,보은글램핑,충청북도 보은군 속리산면 속리산로 1029-13,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","계곡 물놀이,산책로,낚시,어린이놀이시설","낚시,여름물놀이,걷기길",불가능,115000,150000,172000,207000,1079982253,운영중
644,봇재명량다원 야영장,전라남도 보성군 회천면 녹차로 745-8,정보없음,정보없음,정보없음,정보없음,불가능,35000,46000,52000,63000,NOT_FOUND,휴업
645,봉무공원야영장,경상북도 동구 팔공로 50길 66,개별,"놀이터,운동장,운동시설,마트.편의점","산책로,운동장,어린이놀이시설",여름물놀이,불가능,40000,52000,60000,72000,NOT_FOUND,휴업
646,봉바위농원,경기도 김포시 하성면 평화공원로70번길 290-97,개별,"전기,장작판매,온수,물놀이장,놀이터",정보없음,정보없음,불가능,50000,65000,75000,90000,1677455845,운영중
647,봉봉자연 관광농원,경기도 용인시 처인구 이동읍 백자로184번길 19,정보없음,"전기,장작판매,온수,물놀이장,놀이터,운동시설",정보없음,정보없음,불가능,50000,65000,75000,90000,31363852,운영중
648,봉수대오토캠핑장,강원도 고성군 죽왕면 봉수대길 1,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","산책로,운동장,해수욕","일출명소,수상레저,여름물놀이,걷기길",불가능,45000,58000,68000,81000,NOT_FOUND,휴업
649,봉식이놀이터,경상북도 청도군 풍각면 봉수길 749-8,개별,"전기,온수,물놀이장,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설",여름물놀이,불가능,55000,72000,82000,99000,35781576,운영중
650,봉평마가리 캠핑장,강원도 평창군 봉평면 전나무골길 224-10,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",계곡 물놀이,"스키,여름물놀이,가을단풍명소",불가능,45000,58000,68000,81000,32646785,운영중
651,산골펜션캠핑장,경상북도 봉화군 소천면 청옥로 219-18,개별,정보없음,정보없음,정보없음,불가능,35000,46000,52000,63000,NOT_FOUND,휴업
652,봉화열목어마을,경상북도 봉화군 석포면 청옥로 1893,개별,"전기,온수,놀이터,산책로",산책로,가을단풍명소,불가능,45000,58000,68000,81000,37036006,운영중
653,봉황산자연휴양림 야영장,전라남도 여수시 돌산읍 대복길 160,개별,"전기,온수,놀이터",정보없음,"봄꽃여행,걷기길",불가능,35000,46000,52000,63000,NOT_FOUND,휴업
654,봉황산자연휴양림 제2야영장,전라남도 여수시 대복길 160-0,정보없음,정보없음,정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
655,부례관광지,경상북도 고령군 우곡면 우곡강변길 672,개별,"전기,무선인터넷,온수,트렘폴린,물놀이장,놀이터,산책로,운동장","산책로,운동장,수영장","여름물놀이,걷기길",가능,45000,58000,68000,81000,1602701005,운영중
656,부여사나래캠핑농원,충청남도 부여군 양화면 상시로 151,정보없음,"전기,온수,운동시설",정보없음,정보없음,불가능,40000,52000,60000,72000,37812168,운영중
657,부연동 스카이케빈 캠핑장,강원도 강릉시 연곡면 부연동길 840,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설,마트.편의점","계곡 물놀이,산책로,낚시","봄꽃여행,여름물놀이,가을단풍명소",불가능,50000,65000,75000,90000,37495243,운영중
658,부재산방 캠핑장,경상남도 창원시 마산합포구 진전면 미천2길 148,개별,"전기,무선인터넷,장작판매,온수","계곡 물놀이,산책로","여름물놀이,걷기길",불가능,45000,58000,68000,81000,32720923,운영중
659,북상휴양관 빨간자전거 캠핑장 ,전라남도 장성군 북하면 백양로 447,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","산책로,강/물놀이","여름물놀이,가을단풍명소",불가능,55000,72000,82000,99000,NOT_FOUND,휴업
660,북캠프,충청남도 공주시 신풍면 영정길 155-3,정보없음,"전기,무선인터넷,온수,물놀이장,산책로,운동시설",정보없음,정보없음,불가능,55000,72000,82000,99000,37880274,운영중
661,북캠프지오 ,경상남도 거제시 남부면 저구리,정보없음,"전기,온수,놀이터,산책로",정보없음,정보없음,가능,40000,52000,60000,72000,NOT_FOUND,휴업
662,북한강뷰 카라반파크,경기도 남양주시 화도읍 금남리 171-13번지,정보없음,정보없음,정보없음,정보없음,불가능,85000,110000,128000,153000,NOT_FOUND,휴업
663,북한산 캠핑장,서울 은평구 북한산로 232-1 (진관동),개별,"전기,온수,놀이터,산책로,운동시설,마트.편의점",산책로,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
664,불루캠핑장,충청북도 단양군 가곡면 새밭로 797-3,정보없음,정보없음,정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
665,불정 자연휴양림,경상북도 문경시 불정동 산 71-1,개별,"물놀이장,놀이터,운동시설",정보없음,정보없음,불가능,50000,65000,75000,90000,32769645,운영중
666,Black tree,경기도 옹진군 영흥면 내리 1527-66,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",해수욕,정보없음,불가능,40000,52000,60000,72000,NOT_FOUND,휴업
667,블루마운틴,경상북도 동구 능성동 산 47-1,개별,"전기,무선인터넷,온수,놀이터,운동시설",정보없음,정보없음,불가능,35000,46000,52000,63000,NOT_FOUND,휴업
668,블루원글램핑,경상북도 경주시 보불로 391 (천군동),정보없음,"전기,온수,물놀이장",정보없음,정보없음,불가능,110000,143000,165000,198000,NOT_FOUND,휴업
669,블루웨일,경상남도 고성군 삼산면 두포5길 113-139,정보없음,"물놀이장,운동시설",정보없음,정보없음,불가능,55000,72000,82000,99000,38460244,운영중
670,비로야영장,경상북도 영주시 풍기읍 삼가로 447-11,개별,"전기,장작판매,온수,트렘폴린,운동시설","계곡 물놀이,산책로",여름물놀이,불가능,40000,52000,60000,72000,34677880,운영중
671,비발디 캠핑파크,강원도 홍천군 서면 한서로 1031-11,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설","계곡 물놀이,낚시",여름물놀이,불가능,55000,72000,82000,99000,1004875384,운영중
672,태안 안면도 비비애견동반캠핑장,충청남도 태안군 남면 신온리 169-13,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장","산책로,운동장,해수욕,강/물놀이,수영장","일몰명소,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",가능,50000,65000,75000,90000,1639169437,운영중
673,비슬산 숲속 오토캠핑장,경상북도 달성군 유가읍 일연선사길 61,정보없음,"전기,온수,물놀이장,놀이터,운동시설",정보없음,정보없음,불가능,50000,65000,75000,90000,37769149,운영중
674,비타민 캠핑장,경기도 양주시 백석읍 기산로440번길 110-43,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,강/물놀이,어린이놀이시설","여름물놀이,가을단풍명소",불가능,50000,65000,75000,90000,254262872,운영중
675,비토섬오토캠핑장,경상남도 사천시 서포면 토끼로 245-5,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설","산책로,낚시,해수욕,강/물놀이,청소년체험시설,농어촌체험시설","일몰명소,낚시,봄꽃여행",불가능,50000,65000,75000,90000,1748241109,운영중
676,비학농원캠핑장,경기도 파주시 만월로613번길 217-0,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설","낚시,어린이놀이시설","낚시,봄꽃여행,가을단풍명소,겨울눈꽃명소,걷기길",불가능,40000,52000,60000,72000,38342571,운영중
677,비학산자연휴양림,경상북도 포항시 북구 기북면 비학산길 302,공동취사장,"전기,무선인터넷,온수,물놀이장,놀이터,산책로,운동장,마트.편의점","산책로,수상레저,낚시,해수욕","봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소",불가능,45000,58000,68000,81000,NOT_FOUND,휴업
678,뿌리공원 캠핑장,"충청남도 중구 뿌리공원로 79 (침산동, 뿌리공원)",불가,"전기,온수,놀이터,운동시설","계곡 물놀이,산책로,농어촌체험시설","봄꽃여행,가을단풍명소,걷기길",불가능,35000,46000,52000,63000,38729120,운영중
679,사계절 오토캠핑장,충청남도 공주시 유구읍 무드리길 64,개별,"전기,장작판매,온수,물놀이장,놀이터,산책로,운동시설,마트.편의점","계곡 물놀이,산책로,낚시",여름물놀이,불가능,50000,65000,75000,90000,NOT_FOUND,휴업
680,사과랑 관광농원,충청남도 당진시 순성면 가화로 136,개별,"전기,장작판매,온수,트렘폴린,물놀이장,놀이터,마트.편의점","산책로,농어촌체험시설",걷기길,가능,50000,65000,75000,90000,1218790992,운영중
681,사과향기캠핑장,경상남도 밀양시 산내면 얼음골옛길 347-12,개별,"전기,무선인터넷,온수,트렘폴린,운동시설,마트.편의점","계곡 물놀이,산책로,농어촌체험시설","봄꽃여행,여름물놀이,걷기길",불가능,35000,46000,52000,63000,34301471,운영중
682,사나래관광농원,경기도 양평군 용문면 중원리 580,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",계곡 물놀이,"여름물놀이,가을단풍명소",불가능,50000,65000,75000,90000,37812168,운영중
683,사나래글램핑장,경기도 연천군 왕징면 군왕로 181,정보없음,"물놀이장,놀이터,산책로,운동시설",정보없음,정보없음,불가능,110000,143000,165000,198000,1172841132,운영중
684,사나래카라반캠핑장,경상북도 포항시 남구 장기면 동해안로 2932,개별,"무선인터넷,트렘폴린,물놀이장","수상레저,해수욕","일출명소,수상레저,낚시,여름물놀이,걷기길",불가능,100000,130000,150000,180000,NOT_FOUND,휴업
685,사랑나무 캠핑장,강원도 영월군 김삿갓면 내리계곡로 131-12,개별,"전기,무선인터넷,장작판매,온수,운동시설",계곡 물놀이,여름물놀이,불가능,45000,58000,68000,81000,32000828,운영중
686,사선대캠핑장,전라북도 임실군 관촌면 춘향로 3441-26,개별,"전기,온수,물놀이장,운동시설",정보없음,정보없음,불가능,50000,65000,75000,90000,NOT_FOUND,휴업
687,사슬치 캠핑장,강원도 영월군 주천면 용석리 339,개별,"전기,장작판매,온수,트렘폴린,물놀이장",정보없음,정보없음,불가능,55000,72000,82000,99000,NOT_FOUND,휴업
688,빛 생명 숲 사지목,경상남도 양산시 원동면 늘밭로 201,개별,놀이터,"계곡 물놀이,산책로",여름물놀이,불가능,35000,46000,52000,63000,37812353,운영중
689,사촌해수욕장야영장,경상남도 남해군 남면 남면로1229번길 44,개별,"놀이터,운동시설,마트.편의점","산책로,수상레저,낚시,해수욕,농어촌체험시설","일몰명소,수상레저,낚시,액티비티,봄꽃여행,여름물놀이,가을단풍명소,걷기길",불가능,40000,52000,60000,72000,33860669,운영중
690,산과별 관광농원,충청남도 공주시 사곡면 부곡산성로 187-15,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설","산책로,농어촌체험시설","가을단풍명소,걷기길",가능(소형견),45000,58000,68000,81000,38403679,운영중
691,산꽃벚꽃마을 오토캠핑장,충청남도 금산군 군북면 산안리 302,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트.편의점","계곡 물놀이,산책로,낚시,어린이놀이시설","여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",가능,50000,65000,75000,90000,748405903,운영중
692,산내들 관광농원,경상북도 울진군 금강송면 소광리 429-1,개별,"전기,무선인터넷,장작판매,온수,산책로,마트.편의점","계곡 물놀이,산책로","여름물놀이,가을단풍명소,걷기길",가능(소형견),35000,46000,52000,63000,1500526309,운영중
693,산내들 패밀리 어드벤처파크,경상북도 김천시 지례면 부항로 109-38,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,낚시,어린이놀이시설",여름물놀이,가능(소형견),45000,58000,68000,81000,580828896,운영중
694,산내들캠핑,충청북도 제천시 봉양읍 국사봉로 260,개별,"전기,무선인터넷,장작판매,온수",계곡 물놀이,"여름물놀이,가을단풍명소,걷기길",가능(소형견),45000,58000,68000,81000,13162518,운영중
695,산내별빛오토캠핑장,경상북도 경주시 산내면 대현리 산394,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설",산책로,"가을단풍명소,걷기길",가능,50000,65000,75000,90000,NOT_FOUND,휴업
696,산내편안관광농원,경상북도 경주시 산내면 외칠리 3-12,개별,"전기,온수,트렘폴린","산책로,낚시,해수욕","봄꽃여행,가을단풍명소",가능,45000,58000,68000,81000,1661411681,운영중
697,산너머그곳 캠핑장 ,전라북도 완주군 동상면 송광수만로 1080,개별,"전기,온수,물놀이장,놀이터,운동시설",정보없음,걷기길,불가능,55000,72000,82000,99000,NOT_FOUND,휴업
698,원주산노리 캠핑장,강원도 원주시 신림면 황둔리 1000,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설",계곡 물놀이,정보없음,불가능,55000,72000,82000,99000,253479482,운영중
699,산들래 야영장,경기도 화성시 비봉면 자청로207번길 21-73,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",정보없음,"여름물놀이,가을단풍명소",불가능,55000,72000,82000,99000,NOT_FOUND,휴업
700,산디마을 생태공원 캠핑장,충청남도 대덕구 장동 685-1,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설","계곡 물놀이,수영장,청소년체험시설","봄꽃여행,가을단풍명소,겨울눈꽃명소,걷기길",가능(소형견),50000,65000,75000,90000,1394821341,운영중
701,산마루캠핑장,경기도 포천시 이동면 금강로 6584-20,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설,마트.편의점","계곡 물놀이,산책로,농어촌체험시설",정보없음,불가능,55000,72000,82000,99000,21129983,운영중
702,산방환담,강원도 화천군 사내면 가화로 458-48,정보없음,"전기,온수",정보없음,정보없음,불가능,45000,58000,68000,81000,38466373,운영중
703,산사랑글램핑펜션,강원도 원주시 소초면 구룡사로 127-1,정보없음,"전기,온수,놀이터,운동시설","계곡 물놀이,산책로",가을단풍명소,불가능,105000,136000,158000,189000,15675405,운영중
704,중복제거,충청북도 괴산군 청천면 도경로여사왕 2길 4-67,개별,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설","산책로,낚시,수영장,청소년체험시설,농어촌체험시설,어린이놀이시설","봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소",가능(소형견),55000,72000,82000,99000,2089511769,운영중
705,산솔오토캠핑장,강원도 영월군 중동면 태백산로 1616,정보없음,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",정보없음,정보없음,불가능,45000,58000,68000,81000,37667904,운영중
706,산아래 캠핑장,경상북도 영주시 부석면 영부로890번길 132,개별,"전기,장작판매,온수,물놀이장,놀이터","계곡 물놀이,산책로","여름물놀이,가을단풍명소",불가능,50000,65000,75000,90000,36654817,운영중
707,별빛캠핑장,경기도 포천시 관인면 담터길 275,개별,"전기,무선인터넷,장작판매,온수,산책로,마트.편의점","계곡 물놀이,산책로","여름물놀이,가을단풍명소,겨울눈꽃명소",가능(소형견),45000,58000,68000,81000,NOT_FOUND,휴업
